locus_tag	ftype	length_bp	gene	EC_number	COG	product
NMOBLELM_00088	CDS	453	VLTF2			Viral late gene transcription factor 2
NMOBLELM_00089	CDS	684	VLTF3			Viral late gene transcription factor 3
NMOBLELM_00090	CDS	228				Protein A2.5
NMOBLELM_00091	CDS	1986				Major core protein 4b
NMOBLELM_00092	CDS	486				hypothetical protein
NMOBLELM_00093	CDS	513		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
NMOBLELM_00094	CDS	1128	A6L			Protein A6
NMOBLELM_00095	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
NMOBLELM_00096	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
NMOBLELM_00097	CDS	237				Virion membrane protein A9
NMOBLELM_00098	CDS	2715				Major core protein 4a precursor
NMOBLELM_00099	CDS	954				Protein A11
NMOBLELM_00100	CDS	573				25 kDa core protein A12L
NMOBLELM_00101	CDS	204				hypothetical protein
NMOBLELM_00102	CDS	288				Virion membrane protein A14
NMOBLELM_00103	CDS	288				Core protein A15
NMOBLELM_00104	CDS	1134				Virion membrane protein A16
NMOBLELM_00105	CDS	591				Virion membrane protein A17 precursor
NMOBLELM_00106	CDS	1443		3.6.4.-		Transcript termination protein A18
NMOBLELM_00107	CDS	225				Protein A19
NMOBLELM_00108	CDS	159				hypothetical protein
NMOBLELM_00109	CDS	1293				DNA polymerase processivity factor component A20
NMOBLELM_00110	CDS	507		3.1.-.-		Resolvase A22
NMOBLELM_00111	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
NMOBLELM_00112	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
NMOBLELM_00113	CDS	447				hypothetical protein
NMOBLELM_00114	CDS	423				Envelope protein A28
NMOBLELM_00115	CDS	909		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
NMOBLELM_00116	CDS	225				hypothetical protein
NMOBLELM_00117	CDS	126				hypothetical protein
NMOBLELM_00118	CDS	765				Protein A32
NMOBLELM_00119	CDS	591				Protein A33
NMOBLELM_00120	CDS	516				Protein A34
NMOBLELM_00121	CDS	576				Protein A35
NMOBLELM_00122	CDS	867				hypothetical protein
NMOBLELM_00123	CDS	546				hypothetical protein
NMOBLELM_00124	CDS	822				hypothetical protein
NMOBLELM_00125	CDS	903				hypothetical protein
NMOBLELM_00126	CDS	372				hypothetical protein
NMOBLELM_00127	CDS	246				hypothetical protein
NMOBLELM_00128	CDS	486				hypothetical protein
NMOBLELM_00129	CDS	531				hypothetical protein
NMOBLELM_00130	CDS	1674	LIG	6.5.1.1		DNA ligase
NMOBLELM_00131	CDS	5958				hypothetical protein
NMOBLELM_00132	CDS	1083				Soluble interferon alpha/beta receptor B18
NMOBLELM_00133	CDS	462				hypothetical protein
NMOBLELM_00134	CDS	1008				hypothetical protein
NMOBLELM_00135	CDS	561				hypothetical protein
NMOBLELM_00136	CDS	918	VPK1	2.7.11.1		B1 kinase
NMOBLELM_00137	CDS	723				hypothetical protein
NMOBLELM_00138	CDS	678	PS/HR			Protein B5
NMOBLELM_00139	CDS	405				hypothetical protein
NMOBLELM_00140	CDS	909				hypothetical protein
NMOBLELM_00141	CDS	1644	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
NMOBLELM_00142	CDS	1905				hypothetical protein
NMOBLELM_00143	CDS	1242		3.1.1.-		Envelope phospholipase F13
NMOBLELM_00144	CDS	1497				Ankyrin repeat domain-containing protein M-T5
NMOBLELM_00145	CDS	1344				Ankyrin repeat domain-containing protein M-T5
NMOBLELM_00146	CDS	1014	SERP2			Serine proteinase inhibitor 2
NMOBLELM_00147	CDS	486				hypothetical protein
NMOBLELM_00148	CDS	1653	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
NMOBLELM_00149	CDS	1470				Ankyrin repeat domain-containing protein M-T5
NMOBLELM_00150	CDS	276				hypothetical protein
NMOBLELM_00151	CDS	723				hypothetical protein
