locus_tag	ftype	length_bp	gene	EC_number	COG	product
KCBEBCIG_00052	gene	1791				
KCBEBCIG_00052	CDS	1791		3.4.24.-		Metalloendopeptidase G1
KCBEBCIG_00053	gene	246				
KCBEBCIG_00053	CDS	246				Protein G3
KCBEBCIG_00054	gene	669				
KCBEBCIG_00054	CDS	669				Late transcription elongation factor G2
KCBEBCIG_00055	gene	381				
KCBEBCIG_00055	CDS	381				Glutaredoxin-2
KCBEBCIG_00056	gene	1314	G5R			
KCBEBCIG_00056	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
KCBEBCIG_00057	gene	192	RPO7			
KCBEBCIG_00057	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
KCBEBCIG_00058	gene	525				
KCBEBCIG_00058	CDS	525				hypothetical protein
KCBEBCIG_00059	gene	1122				
KCBEBCIG_00059	CDS	1122				Assembly protein G7
KCBEBCIG_00060	gene	783	VLTF1			
KCBEBCIG_00060	CDS	783	VLTF1			Late transcription factor 1
KCBEBCIG_00061	gene	1011				
KCBEBCIG_00061	CDS	1011				Myristoylated protein G9
KCBEBCIG_00062	gene	738	L1R			
KCBEBCIG_00062	CDS	738	L1R			Protein L1
KCBEBCIG_00063	gene	279				
KCBEBCIG_00063	CDS	279				Protein L2
KCBEBCIG_00064	gene	957				
KCBEBCIG_00064	CDS	957				Protein L3
KCBEBCIG_00065	gene	762	L4R			
KCBEBCIG_00065	CDS	762	L4R			Core protein VP8
KCBEBCIG_00066	gene	396				
KCBEBCIG_00066	CDS	396				Protein L5
KCBEBCIG_00067	gene	444				
KCBEBCIG_00067	CDS	444				Protein J1 
KCBEBCIG_00068	gene	534	TK			
KCBEBCIG_00068	CDS	534	TK	2.7.1.21		Thymidine kinase
KCBEBCIG_00069	gene	594				
KCBEBCIG_00069	CDS	594				hypothetical protein
KCBEBCIG_00070	gene	987	PAPS			
KCBEBCIG_00070	CDS	987	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
KCBEBCIG_00071	gene	402				
KCBEBCIG_00071	CDS	402				Protein J5
KCBEBCIG_00072	gene	3858				
KCBEBCIG_00072	CDS	3858				hypothetical protein
KCBEBCIG_00073	gene	516				
KCBEBCIG_00073	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
KCBEBCIG_00074	gene	573				
KCBEBCIG_00074	CDS	573				Protein H2
KCBEBCIG_00075	gene	969	H3L			
KCBEBCIG_00075	CDS	969	H3L			Envelope protein H3
KCBEBCIG_00076	gene	2397				
KCBEBCIG_00076	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
KCBEBCIG_00077	gene	672				
KCBEBCIG_00077	CDS	672				Late transcription elongation factor H5
KCBEBCIG_00078	gene	954	TOP1			
KCBEBCIG_00078	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
KCBEBCIG_00079	gene	444	H7R			
KCBEBCIG_00079	CDS	444	H7R			Late protein H7
KCBEBCIG_00080	gene	2529				
KCBEBCIG_00080	CDS	2529				mRNA-capping enzyme catalytic subunit
KCBEBCIG_00081	gene	468	D4L			
KCBEBCIG_00081	CDS	468	D4L			Core protein D4
KCBEBCIG_00082	gene	738				
KCBEBCIG_00082	CDS	738				27 kDa core protein
KCBEBCIG_00083	gene	657	UNG			
KCBEBCIG_00083	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
KCBEBCIG_00084	gene	2361				
KCBEBCIG_00084	CDS	2361		3.6.4.-		Primase D5
KCBEBCIG_00085	gene	1908	VETFS			
KCBEBCIG_00085	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
KCBEBCIG_00086	gene	492				
KCBEBCIG_00086	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
KCBEBCIG_00087	gene	642	D9R			
KCBEBCIG_00087	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
KCBEBCIG_00088	gene	762				
KCBEBCIG_00088	CDS	762		3.1.3.-		mRNA-decapping protein D10
KCBEBCIG_00089	gene	1908	NPH1			
KCBEBCIG_00089	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
KCBEBCIG_00090	gene	864				
KCBEBCIG_00090	CDS	864				mRNA-capping enzyme regulatory subunit
KCBEBCIG_00091	gene	1650				
KCBEBCIG_00091	CDS	1650				Scaffold protein D13
KCBEBCIG_00092	gene	453	VLTF2			
KCBEBCIG_00092	CDS	453	VLTF2			Viral late gene transcription factor 2
KCBEBCIG_00093	gene	684	VLTF3			
KCBEBCIG_00093	CDS	684	VLTF3			Viral late gene transcription factor 3
KCBEBCIG_00094	gene	228				
KCBEBCIG_00094	CDS	228				Protein A2.5
KCBEBCIG_00095	gene	1986				
KCBEBCIG_00095	CDS	1986				Major core protein 4b
KCBEBCIG_00096	gene	486				
KCBEBCIG_00096	CDS	486				hypothetical protein
KCBEBCIG_00097	gene	510				
KCBEBCIG_00097	CDS	510		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
KCBEBCIG_00098	gene	1128	A6L			
KCBEBCIG_00098	CDS	1128	A6L			Protein A6
KCBEBCIG_00099	gene	2145	VETFL			
KCBEBCIG_00099	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
KCBEBCIG_00100	gene	873	VITF3S			
KCBEBCIG_00100	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
KCBEBCIG_00101	gene	237				
KCBEBCIG_00101	CDS	237				Virion membrane protein A9
KCBEBCIG_00102	gene	2715				
KCBEBCIG_00102	CDS	2715				Major core protein 4a precursor
KCBEBCIG_00103	gene	954				
KCBEBCIG_00103	CDS	954				Protein A11
KCBEBCIG_00104	gene	573				
KCBEBCIG_00104	CDS	573				25 kDa core protein A12L
KCBEBCIG_00105	gene	204				
KCBEBCIG_00105	CDS	204				hypothetical protein
KCBEBCIG_00106	gene	288				
KCBEBCIG_00106	CDS	288				Virion membrane protein A14
KCBEBCIG_00107	gene	288				
KCBEBCIG_00107	CDS	288				Core protein A15
KCBEBCIG_00108	gene	1134				
KCBEBCIG_00108	CDS	1134				Virion membrane protein A16
KCBEBCIG_00109	gene	591				
KCBEBCIG_00109	CDS	591				Virion membrane protein A17 precursor
KCBEBCIG_00110	gene	1443				
KCBEBCIG_00110	CDS	1443		3.6.4.-		Transcript termination protein A18
KCBEBCIG_00111	gene	225				
KCBEBCIG_00111	CDS	225				Protein A19
KCBEBCIG_00112	gene	159				
KCBEBCIG_00112	CDS	159				hypothetical protein
KCBEBCIG_00113	gene	1293				
KCBEBCIG_00113	CDS	1293				DNA polymerase processivity factor component A20
KCBEBCIG_00114	gene	507				
KCBEBCIG_00114	CDS	507		3.1.-.-		Resolvase A22
KCBEBCIG_00115	gene	1158	VITF3L			
KCBEBCIG_00115	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
KCBEBCIG_00116	gene	3471				
KCBEBCIG_00116	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
KCBEBCIG_00117	gene	447				
KCBEBCIG_00117	CDS	447				hypothetical protein
KCBEBCIG_00118	gene	423				
KCBEBCIG_00118	CDS	423				Envelope protein A28
KCBEBCIG_00119	gene	912				
KCBEBCIG_00119	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
KCBEBCIG_00120	gene	225				
KCBEBCIG_00120	CDS	225				hypothetical protein
KCBEBCIG_00121	gene	126				
KCBEBCIG_00121	CDS	126				hypothetical protein
KCBEBCIG_00122	gene	765				
KCBEBCIG_00122	CDS	765				Protein A32
KCBEBCIG_00123	gene	591				
KCBEBCIG_00123	CDS	591				Protein A33
KCBEBCIG_00124	gene	516				
KCBEBCIG_00124	CDS	516				Protein A34
KCBEBCIG_00125	gene	576				
KCBEBCIG_00125	CDS	576				Protein A35
KCBEBCIG_00126	gene	867				
KCBEBCIG_00126	CDS	867				hypothetical protein
KCBEBCIG_00127	gene	546				
KCBEBCIG_00127	CDS	546				hypothetical protein
KCBEBCIG_00128	gene	822				
KCBEBCIG_00128	CDS	822				hypothetical protein
KCBEBCIG_00129	gene	906				
KCBEBCIG_00129	CDS	906				hypothetical protein
KCBEBCIG_00130	gene	372				
KCBEBCIG_00130	CDS	372				hypothetical protein
KCBEBCIG_00131	gene	246				
KCBEBCIG_00131	CDS	246				hypothetical protein
KCBEBCIG_00132	gene	486				
KCBEBCIG_00132	CDS	486				hypothetical protein
KCBEBCIG_00133	gene	531				
KCBEBCIG_00133	CDS	531				hypothetical protein
KCBEBCIG_00134	gene	1674	LIG			
KCBEBCIG_00134	CDS	1674	LIG	6.5.1.1		DNA ligase
KCBEBCIG_00135	gene	5958				
KCBEBCIG_00135	CDS	5958				hypothetical protein
KCBEBCIG_00136	gene	1083				
KCBEBCIG_00136	CDS	1083				Soluble interferon alpha/beta receptor B18
KCBEBCIG_00137	gene	462				
KCBEBCIG_00137	CDS	462				hypothetical protein
KCBEBCIG_00138	gene	1008				
KCBEBCIG_00138	CDS	1008				hypothetical protein
KCBEBCIG_00139	gene	561				
KCBEBCIG_00139	CDS	561				hypothetical protein
KCBEBCIG_00140	gene	918	VPK1			
KCBEBCIG_00140	CDS	918	VPK1	2.7.11.1		B1 kinase
KCBEBCIG_00141	gene	723				
KCBEBCIG_00141	CDS	723				hypothetical protein
KCBEBCIG_00142	gene	675				
KCBEBCIG_00142	CDS	675				hypothetical protein
KCBEBCIG_00143	gene	405				
KCBEBCIG_00143	CDS	405				hypothetical protein
KCBEBCIG_00144	gene	909				
KCBEBCIG_00144	CDS	909				hypothetical protein
KCBEBCIG_00145	gene	1668	KBTB1_1			
KCBEBCIG_00145	CDS	1668	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
KCBEBCIG_00146	gene	1905				
KCBEBCIG_00146	CDS	1905				hypothetical protein
KCBEBCIG_00147	gene	1242				
KCBEBCIG_00147	CDS	1242		3.1.1.-		Envelope phospholipase F13
KCBEBCIG_00148	gene	1497				
KCBEBCIG_00148	CDS	1497				Ankyrin repeat domain-containing protein M-T5
KCBEBCIG_00149	gene	1344				
KCBEBCIG_00149	CDS	1344				Ankyrin repeat domain-containing protein M-T5
KCBEBCIG_00150	gene	1014	SERP2			
KCBEBCIG_00150	CDS	1014	SERP2			Serine proteinase inhibitor 2
KCBEBCIG_00151	gene	486				
KCBEBCIG_00151	CDS	486				hypothetical protein
KCBEBCIG_00152	gene	1656	KBTB1_2			
KCBEBCIG_00152	CDS	1656	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
KCBEBCIG_00153	gene	1470				
KCBEBCIG_00153	CDS	1470				Ankyrin repeat domain-containing protein M-T5
KCBEBCIG_00154	gene	276				
KCBEBCIG_00154	CDS	276				hypothetical protein
KCBEBCIG_00155	gene	723				
KCBEBCIG_00155	CDS	723				hypothetical protein
KCBEBCIG_00156	gene	300				
KCBEBCIG_00156	CDS	300				hypothetical protein
