locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILJDMEPN_00035	CDS	798				Protein E8
ILJDMEPN_00036	CDS	3033	POL	2.7.7.7		DNA polymerase
ILJDMEPN_00037	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
ILJDMEPN_00038	CDS	393				Protein E11
ILJDMEPN_00039	CDS	2055				hypothetical protein
ILJDMEPN_00040	CDS	945				Telomere-binding protein I1
ILJDMEPN_00041	CDS	216				hypothetical protein
ILJDMEPN_00042	CDS	831	I3L			Protein I3
ILJDMEPN_00043	CDS	237				Protein I5
ILJDMEPN_00044	CDS	1185				Telomere-binding protein I6
ILJDMEPN_00045	CDS	1302		3.4.22.-		Core protease I7
ILJDMEPN_00046	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
ILJDMEPN_00047	CDS	1788		3.4.24.-		Metalloendopeptidase G1
ILJDMEPN_00048	CDS	246				Protein G3
ILJDMEPN_00049	CDS	669				Late transcription elongation factor G2
ILJDMEPN_00050	CDS	381				Glutaredoxin-2
ILJDMEPN_00051	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
ILJDMEPN_00052	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
ILJDMEPN_00053	CDS	525				hypothetical protein
ILJDMEPN_00054	CDS	1119				Assembly protein G7
ILJDMEPN_00055	CDS	783	VLTF1			Late transcription factor 1
ILJDMEPN_00056	CDS	1014				Myristoylated protein G9
ILJDMEPN_00057	CDS	738	L1R			Protein L1
ILJDMEPN_00058	CDS	279				Protein L2
ILJDMEPN_00059	CDS	957				Protein L3
ILJDMEPN_00060	CDS	762	L4R			Core protein VP8
ILJDMEPN_00061	CDS	399	L5R			Protein L5
ILJDMEPN_00062	CDS	444				Protein J1 
ILJDMEPN_00063	CDS	534	TK	2.7.1.21		Thymidine kinase
ILJDMEPN_00064	CDS	594				hypothetical protein
ILJDMEPN_00065	CDS	987	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
ILJDMEPN_00066	CDS	402				Protein J5
ILJDMEPN_00067	CDS	3858				hypothetical protein
ILJDMEPN_00068	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
ILJDMEPN_00069	CDS	573				Protein H2
ILJDMEPN_00070	CDS	972	H3L			Envelope protein H3
ILJDMEPN_00071	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
ILJDMEPN_00072	CDS	681	H5R			Late transcription elongation factor H5
ILJDMEPN_00073	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
ILJDMEPN_00074	CDS	444	H7R			Late protein H7
ILJDMEPN_00075	CDS	2529				mRNA-capping enzyme catalytic subunit
ILJDMEPN_00076	CDS	468	D4L			Core protein D4
ILJDMEPN_00077	CDS	738				27 kDa core protein
ILJDMEPN_00078	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
ILJDMEPN_00079	CDS	2361		3.6.4.-		Primase D5
ILJDMEPN_00080	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
ILJDMEPN_00081	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
ILJDMEPN_00082	CDS	681	D9R	3.1.3.-		mRNA-decapping protein D9
ILJDMEPN_00083	CDS	762		3.1.3.-		mRNA-decapping protein D10
ILJDMEPN_00084	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
ILJDMEPN_00085	CDS	864				mRNA-capping enzyme regulatory subunit
ILJDMEPN_00086	CDS	1650				Scaffold protein D13
ILJDMEPN_00087	CDS	453	VLTF2			Viral late gene transcription factor 2
ILJDMEPN_00088	CDS	684	VLTF3			Viral late gene transcription factor 3
ILJDMEPN_00089	CDS	228				Protein A2.5
ILJDMEPN_00090	CDS	1986				Major core protein 4b
ILJDMEPN_00091	CDS	486				hypothetical protein
ILJDMEPN_00092	CDS	504		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
ILJDMEPN_00093	CDS	1128	A6L			Protein A6
ILJDMEPN_00094	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
ILJDMEPN_00095	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
ILJDMEPN_00096	CDS	237				Virion membrane protein A9
ILJDMEPN_00097	CDS	2712				Major core protein 4a precursor
ILJDMEPN_00098	CDS	954				Protein A11
ILJDMEPN_00099	CDS	573				25 kDa core protein A12L
ILJDMEPN_00100	CDS	204				hypothetical protein
ILJDMEPN_00101	CDS	288				Virion membrane protein A14
ILJDMEPN_00102	CDS	288				Core protein A15
ILJDMEPN_00103	CDS	1134				Virion membrane protein A16
ILJDMEPN_00104	CDS	585				Virion membrane protein A17 precursor
ILJDMEPN_00105	CDS	1443		3.6.4.-		Transcript termination protein A18
ILJDMEPN_00106	CDS	225				Protein A19
ILJDMEPN_00107	CDS	159				hypothetical protein
ILJDMEPN_00108	CDS	1293				DNA polymerase processivity factor component A20
ILJDMEPN_00109	CDS	507		3.1.-.-		Resolvase A22
ILJDMEPN_00110	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
ILJDMEPN_00111	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
ILJDMEPN_00112	CDS	450				hypothetical protein
ILJDMEPN_00113	CDS	423				Envelope protein A28
ILJDMEPN_00114	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
ILJDMEPN_00115	CDS	225				hypothetical protein
ILJDMEPN_00116	CDS	126				hypothetical protein
ILJDMEPN_00117	CDS	771				Protein A32
ILJDMEPN_00118	CDS	591				Protein A33
ILJDMEPN_00119	CDS	516				Protein A34
ILJDMEPN_00120	CDS	576				Protein A35
ILJDMEPN_00121	CDS	867				hypothetical protein
ILJDMEPN_00122	CDS	519				hypothetical protein
ILJDMEPN_00123	CDS	804				hypothetical protein
ILJDMEPN_00124	CDS	906				hypothetical protein
ILJDMEPN_00125	CDS	321				hypothetical protein
ILJDMEPN_00126	CDS	96				hypothetical protein
ILJDMEPN_00127	CDS	234				hypothetical protein
ILJDMEPN_00128	CDS	486				hypothetical protein
ILJDMEPN_00129	CDS	1674	LIG	6.5.1.1		DNA ligase
ILJDMEPN_00130	CDS	5961				hypothetical protein
ILJDMEPN_00131	CDS	1083				Soluble interferon alpha/beta receptor B18
ILJDMEPN_00132	CDS	1008				hypothetical protein
ILJDMEPN_00133	CDS	543				hypothetical protein
ILJDMEPN_00134	CDS	918	VPK1	2.7.11.1		B1 kinase
ILJDMEPN_00135	CDS	723				hypothetical protein
ILJDMEPN_00136	CDS	681	PS/HR			Protein B5
ILJDMEPN_00137	CDS	408				hypothetical protein
ILJDMEPN_00138	CDS	909				hypothetical protein
ILJDMEPN_00139	CDS	1428	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
ILJDMEPN_00140	CDS	732				hypothetical protein
ILJDMEPN_00141	CDS	1116				Ankyrin repeat domain-containing protein M-T5
ILJDMEPN_00142	CDS	1233		3.1.1.-		Envelope phospholipase F13
ILJDMEPN_00143	CDS	1497				Ankyrin repeat domain-containing protein M-T5
ILJDMEPN_00144	CDS	351				hypothetical protein
ILJDMEPN_00145	CDS	537				hypothetical protein
ILJDMEPN_00146	CDS	1014	SERP2			Serine proteinase inhibitor 2
ILJDMEPN_00147	CDS	486				hypothetical protein
ILJDMEPN_00148	CDS	1659	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
ILJDMEPN_00149	CDS	1455				Ankyrin repeat domain-containing protein M-T5
ILJDMEPN_00150	CDS	723				hypothetical protein
